"죄종별","교육정도별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"특별경제범죄","중퇴","범죄자[명]","명","1308","1547","1427","1687","1798","1631","1708","1881","2000","1596",
"특별경제범죄","졸업","범죄자[명]","명","6930","7518","7000","7986","8281","7726","7531","8259","8863","7627",
"특별경제범죄","대학원","범죄자[명]","명","1324","","","","","","","","","",
"특별경제범죄","재중","범죄자[명]","명","","241","167","196","252","149","141","113","133","120",
"특별경제범죄","중퇴","범죄자[명]","명","","130","115","141","138","130","104","84","92","66",
"특별경제범죄","졸업","범죄자[명]","명","","1155","958","1085","1156","1066","1159","1113","1116","1010",
"특별경제범죄","기타","범죄자[명]","명","2741","2104","894","1033","1181","1090","727","653","678","783",
"특별경제범죄","미상","범죄자[명]","명","34109","32073","32378","31421","32034","25545","22348","23435","23416","22131",
"마약범죄","계","범죄자[명]","명","5409","4731","5049","5264","6913","8443","8512","7677","9875","11630",
"마약범죄","불취학","범죄자[명]","명","149","130","122","134","191","233","270","258","240","306",
"마약범죄","재중","범죄자[명]","명","1","","","1","","","-","3","-","2",
"마약범죄","중퇴","범죄자[명]","명","64","75","80","69","126","151","149","127","157","189",
"마약범죄","졸업","범죄자[명]","명","308","259","345","285","521","574","574","493","644","766",
"마약범죄","재중","범죄자[명]","명","1","","1","3","5","1","1","-","-","4",
"마약범죄","중퇴","범죄자[명]","명","208","274","242","277","368","385","360","310","305","332",
"마약범죄","졸업","범죄자[명]","명","509","456","497","509","713","853","911","795","982","1038",
"마약범죄","재중","범죄자[명]","명","15","5","4","27","28","9","17","10","13","58",
"마약범죄","중퇴","범죄자[명]","명","451","341","302","355","480","534","489","427","551","525",
"마약범죄","졸업","범죄자[명]","명","1726","1603","1806","1862","2247","2706","2796","2501","3380","4005",
"마약범죄","재중","범죄자[명]","명","10","12","7","3","5","11","8","10","24","38",
"마약범죄","중퇴","범죄자[명]","명","27","19","35","44","36","64","46","67","86","64",
"마약범죄","졸업","범죄자[명]","명","100","110","143","146","207","248","212","244","318","362",
"마약범죄","재중","범죄자[명]","명","49","59","63","96","121","104","110","127","213","268",
"마약범죄","중퇴","범죄자[명]","명","63","105","95","146","160","215","279","265","343","344",
"마약범죄","졸업","범죄자[명]","명","332","317","443","458","511","644","717","753","997","1225",
"마약범죄","대학원","범죄자[명]","명","94","","","","","","","","","",
"마약범죄","재중","범죄자[명]","명","","6","13","19","18","19","24","18","24","33",
"마약범죄","중퇴","범죄자[명]","명","","11","5","11","9","15","16","14","21","13",
"마약범죄","졸업","범죄자[명]","명","","64","107","74","77","105","98","114","109","151",
"마약범죄","기타","범죄자[명]","명","272","177","96","73","111","160","126","71","78","149",
"마약범죄","미상","범죄자[명]","명","1030","708","643","672","979","1412","1309","1070","1390","1758",
"보건범죄","계","범죄자[명]","명","20445","19531","23046","22085","20721","21649","19130","16965","18024","21810",
"보건범죄","불취학","범죄자[명]","명","196","233","275","208","219","202","162","156","177","162",
"보건범죄","재중","범죄자[명]","명","","","","","","","-","1","2","-",
"보건범죄","중퇴","범죄자[명]","명","206","204","274","240","205","178","171","183","176","186",
"보건범죄","졸업","범죄자[명]","명","1272","1216","1637","1403","1181","1241","957","890","933","897",
"보건범죄","재중","범죄자[명]","명","2","3","","2","1","2","-","1","4","9",
"보건범죄","중퇴","범죄자[명]","명","216","228","316","266","212","229","204","156","186","208",
"보건범죄","졸업","범죄자[명]","명","1687","1521","1944","1670","1523","1542","1289","1239","1379","1341",
"보건범죄","재중","범죄자[명]","명","27","14","9","8","3","8","8","5","3","27",
"보건범죄","중퇴","범죄자[명]","명","411","380","414","391","329","330","301","263","312","311",
"보건범죄","졸업","범죄자[명]","명","8371","7078","8526","7912","6726","6843","5976","4847","5791","6967",
"보건범죄","재중","범죄자[명]","명","22","19","33","17","13","12","11","14","13","26",
"보건범죄","중퇴","범죄자[명]","명","66","51","74","72","64","43","46","51","64","78",
"보건범죄","졸업","범죄자[명]","명","781","768","1019","927","974","1118","1007","907","1021","1116",
"보건범죄","재중","범죄자[명]","명","162","128","131","139","116","124","111","116","136","254",
"보건범죄","중퇴","범죄자[명]","명","230","308","371","353","352","417","379","321","379","571",
"보건범죄","졸업","범죄자[명]","명","2604","3433","3729","3923","4142","4709","3918","3739","3383","4249",
"보건범죄","대학원","범죄자[명]","명","665","","","","","","","","","",
"보건범죄","재중","범죄자[명]","명","","51","60","47","53","52","53","29","33","63",
"보건범죄","중퇴","범죄자[명]","명","","20","27","39","29","36","26","26","33","38",
"보건범죄","졸업","범죄자[명]","명","","667","685","788","774","843","847","662","567","757",
"보건범죄","기타","범죄자[명]","명","846","487","267","294","273","204","139","140","165","295",
"보건범죄","미상","범죄자[명]","명","2681","2722","3255","3386","3532","3516","3525","3219","3267","4255",
"환경범죄","계","범죄자[명]","명","3113","3247","3588","3136","3176","3802","4378","4066","5088","4329",
"환경범죄","불취학","범죄자[명]","명","28","25","24","20","19","24","21","19","30","22",
"환경범죄","재중","범죄자[명]","명","","","","","","","-","-","-","-",
"환경범죄","중퇴","범죄자[명]","명","30","38","42","34","26","41","48","46","27","29",
"환경범죄","졸업","범죄자[명]","명","238","228","241","192","263","224","246","256","284","246",
"환경범죄","재중","범죄자[명]","명","2","","","","1","4","2","-","2","-",
"환경범죄","중퇴","범죄자[명]","명","51","46","57","43","64","48","64","53","89","62",
"환경범죄","졸업","범죄자[명]","명","285","248","323","279","250","311","389","341","425","315",
"환경범죄","재중","범죄자[명]","명","5","","","1","","5","2","1","2","2",
"환경범죄","중퇴","범죄자[명]","명","59","69","65","49","64","71","86","95","131","106",
"환경범죄","졸업","범죄자[명]","명","1152","1108","1207","1051","993","1285","1494","1255","1751","1535",
"환경범죄","재중","범죄자[명]","명","1","1","1","1","","1","2","-","7","1",
"환경범죄","중퇴","범죄자[명]","명","6","5","7","4","11","11","13","12","14","10",
"환경범죄","졸업","범죄자[명]","명","182","201","242","171","168","266","275","248","324","279",
"환경범죄","재중","범죄자[명]","명","7","7","7","13","15","15","12","10","18","11",
"환경범죄","중퇴","범죄자[명]","명","27","34","50","54","57","55","84","64","111","84",
"환경범죄","졸업","범죄자[명]","명","396","489","587","589","564","725","812","809","901","735",
"환경범죄","대학원","범죄자[명]","명","66","","","","","","","","","",
"환경범죄","재중","범죄자[명]","명","","4","5","2","11","6","2","7","5","3",
"환경범죄","중퇴","범죄자[명]","명","","6","4","4","3","7","10","4","14","3",
"환경범죄","졸업","범죄자[명]","명","","71","85","117","131","119","145","120","106","116",
"환경범죄","기타","범죄자[명]","명","116","118","81","38","45","41","22","39","21","29",
"환경범죄","미상","범죄자[명]","명","462","549","560","474","491","543","649","687","826","741",
"교통범죄","계","범죄자[명]","명","524350","512076","536756","533126","549374","555352","484552","413147","383717","356446",
"교통범죄","불취학","범죄자[명]","명","1240","1240","1508","1455","1664","1774","1512","1206","1174","1033",
"교통범죄","재중","범죄자[명]","명","26","22","14","13","13","10","20","17","7","14",
"교통범죄","중퇴","범죄자[명]","명","1761","1847","2059","2010","2265","2490","2215","1847","1744","1624",
"교통범죄","졸업","범죄자[명]","명","12469","13115","14209","13683","14743","15315","12807","10841","9719","8872",
"교통범죄","재중","범죄자[명]","명","1469","1735","1043","947","801","739","857","699","807","1015",
"교통범죄","중퇴","범죄자[명]","명","3091","3364","3695","3673","3778","3932","3499","2951","2618","2340",
"교통범죄","졸업","범죄자[명]","명","18198","18699","22001","21468","22456","22807","19998","17514","15337","13943",
"교통범죄","재중","범죄자[명]","명","6039","6502","4447","4062","3937","4233","4507","3373","3151","3639",
"교통범죄","중퇴","범죄자[명]","명","6752","6206","6447","6170","6563","7118","6474","5771","5580","5021",
"교통범죄","졸업","범죄자[명]","명","206582","182400","181895","174421","168936","170130","144942","117049","101072","92812",
"교통범죄","재중","범죄자[명]","명","1210","994","821","724","708","609","572","658","639","594",
"교통범죄","중퇴","범죄자[명]","명","985","1041","1211","1121","1035","1054","989","1005","944","919",
"교통범죄","졸업","범죄자[명]","명","17856","20023","25379","24519","23459","23484","21246","18717","15783","13944",
"교통범죄","재중","범죄자[명]","명","7236","7600","6858","6559","6670","6116","5454","4297","3931","4022",
"교통범죄","중퇴","범죄자[명]","명","3754","4258","5682","5738","6550","7285","7048","6127","5439","4930",
"교통범죄","졸업","범죄자[명]","명","57088","61808","73976","69090","69188","70062","62322","51967","43515","37965",
"교통범죄","대학원","범죄자[명]","명","6674","","","","","","","","","",
"교통범죄","재중","범죄자[명]","명","","1367","1398","1199","1230","1229","1120","738","659","623",
"교통범죄","중퇴","범죄자[명]","명","","319","333","311","315","350","401","238","237","253",
"교통범죄","졸업","범죄자[명]","명","","5501","6197","5798","5784","5931","5703","4439","3994","3571",
"교통범죄","기타","범죄자[명]","명","21309","17052","12142","11804","10530","8249","7370","5656","4490","4537",
"교통범죄","미상","범죄자[명]","명","150611","156983","165441","178361","198749","202435","175496","158037","162877","154775",
"노동범죄","계","범죄자[명]","명","2641","2378","2309","2131","2395","5860","4964","2073","865","613",
"노동범죄","불취학","범죄자[명]","명","11","12","8","9","11","25","21","8","2","4",
"노동범죄","재중","범죄자[명]","명","","","","","","","-","-","-","-",
"노동범죄","중퇴","범죄자[명]","명","19","23","15","10","18","53","45","18","2","3",
"노동범죄","졸업","범죄자[명]","명","78","146","135","90","128","330","320","107","31","9",
"노동범죄","재중","범죄자[명]","명","","2","","","3","","-","-","-","-",
"노동범죄","중퇴","범죄자[명]","명","55","45","35","32","23","73","55","30","16","14",
"노동범죄","졸업","범죄자[명]","명","176","226","168","158","197","442","369","179","56","38",
"노동범죄","재중","범죄자[명]","명","4","","1","","3","1","1","3","-","-",
"노동범죄","중퇴","범죄자[명]","명","90","96","69","58","77","135","114","51","37","16",
"노동범죄","졸업","범죄자[명]","명","1326","1053","1115","1005","1165","2870","2307","877","343","222",
"노동범죄","재중","범죄자[명]","명","4","2","1","","1","1","1","1","1","-",
"노동범죄","중퇴","범죄자[명]","명","23","5","14","11","7","30","17","14","7","4",
"노동범죄","졸업","범죄자[명]","명","118","104","137","106","142","400","329","150","51","33",
"노동범죄","재중","범죄자[명]","명","21","20","7","3","7","22","15","9","2","1",
"노동범죄","중퇴","범죄자[명]","명","32","32","40","39","40","101","86","34","25","18",
"노동범죄","졸업","범죄자[명]","명","175","213","213","183","222","634","595","286","88","77",
"노동범죄","대학원","범죄자[명]","명","36","","","","","","","","","",
"노동범죄","재중","범죄자[명]","명","","3","3","1","4","8","4","2","-","-",
"노동범죄","중퇴","범죄자[명]","명","","5","3","5","1","14","5","2","1","1",
"노동범죄","졸업","범죄자[명]","명","","17","22","17","28","54","53","17","12","9",
"노동범죄","기타","범죄자[명]","명","93","44","14","50","29","93","46","11","6","9",
"노동범죄","미상","범죄자[명]","명","380","330","309","354","289","574","581","274","185","155",
"안보범죄","계","범죄자[명]","명","160","126","152","90","174","151","251","187","545","678",
"안보범죄","불취학","범죄자[명]","명","","1","","1","1","1","-","-","-","1",
"안보범죄","재중","범죄자[명]","명","","","","","","","-","-","-","-",
"안보범죄","중퇴","범죄자[명]","명","1","1","","","1","","2","-","1","1",
"안보범죄","졸업","범죄자[명]","명","4","1","5","1","3","","2","1","3","4",
"안보범죄","재중","범죄자[명]","명","","2","","","","1","1","-","-","-",
"안보범죄","중퇴","범죄자[명]","명","5","2","5","2","3","2","2","1","10","1",
"안보범죄","졸업","범죄자[명]","명","3","2","2","1","3","1","7","4","18","28",
"안보범죄","재중","범죄자[명]","명","","","1","","","","4","-","-","2",
"안보범죄","중퇴","범죄자[명]","명","4","2","4","2","5","","11","2","21","32",
"안보범죄","졸업","범죄자[명]","명","27","37","15","20","71","40","99","76","290","385",
"안보범죄","재중","범죄자[명]","명","","","","","","","1","-","2","3",
"안보범죄","중퇴","범죄자[명]","명","3","2","1","1","","","-","1","6","2",
"안보범죄","졸업","범죄자[명]","명","9","7","4","9","5","3","8","13","17","30",
"안보범죄","재중","범죄자[명]","명","1","3","2","1","4","4","2","2","10","11",
"안보범죄","중퇴","범죄자[명]","명","6","7","5","5","13","1","9","6","27","28",
"안보범죄","졸업","범죄자[명]","명","35","33","66","14","25","19","52","18","38","47",
"안보범죄","대학원","범죄자[명]","명","10","","","","","","","","","",
"안보범죄","재중","범죄자[명]","명","","","2","1","2","","1","1","-","-",
"안보범죄","중퇴","범죄자[명]","명","","1","1","","","","1","1","1","-",
"안보범죄","졸업","범죄자[명]","명","","5","6","3","3","1","3","5","1","3",
"안보범죄","기타","범죄자[명]","명","4","1","2","3","1","4","2","3","11","4",
"안보범죄","미상","범죄자[명]","명","48","19","31","26","34","74","44","53","89","96",
"선거범죄","계","범죄자[명]","명","400","1855","409","2800","1121","1525","787","3280","1180","1545",
"선거범죄","불취학","범죄자[명]","명","2","7","","9","18","9","17","9","2","2",
"선거범죄","재중","범죄자[명]","명","","","","","","","-","1","-","-",
"선거범죄","중퇴","범죄자[명]","명","1","9","3","12","8","3","18","14","6","8",
"선거범죄","졸업","범죄자[명]","명","23","49","16","97","121","25","42","113","55","34",
"선거범죄","재중","범죄자[명]","명","","2","","","1","","-","4","-","-",
"선거범죄","중퇴","범죄자[명]","명","5","8","3","23","14","6","13","16","11","8",
"선거범죄","졸업","범죄자[명]","명","13","56","21","132","69","60","32","130","87","50",
"선거범죄","재중","범죄자[명]","명","","9","1","2","","1","2","8","1","11",
"선거범죄","중퇴","범죄자[명]","명","3","15","2","24","13","14","13","40","13","13",
"선거범죄","졸업","범죄자[명]","명","106","497","92","633","327","299","212","709","373","269",
"선거범죄","재중","범죄자[명]","명","","2","4","6","1","3","1","5","-","9",
"선거범죄","중퇴","범죄자[명]","명","2","5","2","9","3","4","3","8","-","5",
"선거범죄","졸업","범죄자[명]","명","22","65","18","130","57","58","39","157","54","47",
"선거범죄","재중","범죄자[명]","명","1","45","10","40","7","22","15","33","1","54",
"선거범죄","중퇴","범죄자[명]","명","4","22","9","46","6","13","23","48","9","16",
"선거범죄","졸업","범죄자[명]","명","98","372","98","567","169","326","140","654","158","249",
"선거범죄","대학원","범죄자[명]","명","28","","","","","","","","","",
"선거범죄","재중","범죄자[명]","명","","19","3","18","3","10","3","23","6","8",
"선거범죄","중퇴","범죄자[명]","명","","5","1","7","3","4","1","5","1","-",
"선거범죄","졸업","범죄자[명]","명","","157","28","207","50","139","47","257","44","98",
"선거범죄","기타","범죄자[명]","명","10","38","1","18","9","23","3","6","7","7",
"선거범죄","미상","범죄자[명]","명","82","473","97","820","242","506","163","1040","352","657",
"병역범죄","계","범죄자[명]","명","22752","18359","23200","18523","18241","15659","14574","13254","11809","3164",
"병역범죄","불취학","범죄자[명]","명","4","2","2","4","2","4","-","3","-","2",
"병역범죄","재중","범죄자[명]","명","","1","","","","","-","-","-","-",
"병역범죄","중퇴","범죄자[명]","명","8","13","10","4","7","5","3","3","12","2",
"병역범죄","졸업","범죄자[명]","명","42","52","60","37","33","37","29","30","22","10",
"병역범죄","재중","범죄자[명]","명","2","3","1","2","","","-","-","-","-",
"병역범죄","중퇴","범죄자[명]","명","49","83","102","98","141","87","84","34","57","10",
"병역범죄","졸업","범죄자[명]","명","756","933","1174","1225","1244","958","790","696","578","244",
"병역범죄","재중","범죄자[명]","명","9","9","2","4","2","2","2","2","-","-",
"병역범죄","중퇴","범죄자[명]","명","1203","1259","1545","1267","1395","1040","763","621","469","214",
"병역범죄","졸업","범죄자[명]","명","7441","8300","10345","8788","8831","7656","7266","6768","5998","1547",
"병역범죄","재중","범죄자[명]","명","88","92","113","88","58","52","63","62","48","13",
"병역범죄","중퇴","범죄자[명]","명","239","244","326","266","235","190","170","165","176","51",
"병역범죄","졸업","범죄자[명]","명","764","910","1143","876","703","677","710","609","568","101",
"병역범죄","재중","범죄자[명]","명","684","843","1042","726","710","647","642","554","536","101",
"병역범죄","중퇴","범죄자[명]","명","1156","1445","2087","1660","1621","1441","1387","1318","1161","278",
"병역범죄","졸업","범죄자[명]","명","1338","1727","2055","1547","1504","1497","1373","1306","1243","197",
"병역범죄","대학원","범죄자[명]","명","408","","","","","","","","","",
"병역범죄","재중","범죄자[명]","명","","137","171","108","117","89","89","47","57","17",
"병역범죄","중퇴","범죄자[명]","명","","124","176","126","107","107","82","53","41","13",
"병역범죄","졸업","범죄자[명]","명","","158","165","118","116","128","111","70","79","20",
"병역범죄","기타","범죄자[명]","명","544","357","356","319","235","156","152","98","65","20",
"병역범죄","미상","범죄자[명]","명","8017","1667","2325","1260","1180","886","858","815","699","324",
"기타범죄","계","범죄자[명]","명","224781","208432","213524","230854","241747","310870","272830","247023","256000","244539",
"기타범죄","불취학","범죄자[명]","명","1255","1456","1529","1684","1568","1739","1533","1408","1469","1141",
"기타범죄","재중","범죄자[명]","명","23","16","2","6","8","9","13","10","10","13",
"기타범죄","중퇴","범죄자[명]","명","1612","1726","1849","2114","2046","2341","2072","1949","1893","1745",
"기타범죄","졸업","범죄자[명]","명","9738","9881","10251","10472","10672","11807","10890","9308","9474","8225",
"기타범죄","재중","범죄자[명]","명","1025","1299","833","681","635","705","656","701","816","936",
"기타범죄","중퇴","범죄자[명]","명","3280","3421","3424","3583","3561","4250","3703","3046","3058","2889",
"기타범죄","졸업","범죄자[명]","명","13644","13530","13906","15411","15457","19230","17130","14883","15052","13144",
"기타범죄","재중","범죄자[명]","명","2671","3723","3525","3066","3237","3240","3177","2595","2395","2880",
"기타범죄","중퇴","범죄자[명]","명","6144","5812","5929","6016","6426","7822","6820","5753","6137","5679",
"기타범죄","졸업","범죄자[명]","명","80956","71227","70541","74223","75835","103104","87335","73446","74210","68765",
"기타범죄","재중","범죄자[명]","명","602","528","550","541","525","603","544","565","585","526",
"기타범죄","중퇴","범죄자[명]","명","838","790","838","908","959","1256","1052","1029","1043","955",
"기타범죄","졸업","범죄자[명]","명","8602","8050","8837","9522","10164","14251","12200","11083","11433","10501",
"기타범죄","재중","범죄자[명]","명","3308","3673","3507","4061","4211","5381","4458","3727","3689","3597",
"기타범죄","중퇴","범죄자[명]","명","3138","3351","3809","4419","4692","6700","5831","5185","5271","5039",
"기타범죄","졸업","범죄자[명]","명","21034","20654","22557","25107","26274","36510","31623","28415","29497","27840",
"기타범죄","대학원","범죄자[명]","명","4327","","","","","","","","","",
"기타범죄","재중","범죄자[명]","명","","627","584","618","692","909","754","516","490","485",
"기타범죄","중퇴","범죄자[명]","명","","309","294","334","412","558","514","269","348","328",
"기타범죄","졸업","범죄자[명]","명","","3548","3696","3990","4358","5359","4977","3987","4489","4275",
"기타범죄","기타","범죄자[명]","명","8955","5236","3147","3377","3328","4334","2625","1858","2274","2518",
"기타범죄","미상","범죄자[명]","명","53629","49575","53916","60721","66687","80762","74923","77290","82367","83058",
